Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Atlanta Hawks,,0.5,0.3333,0.25,0.5,0.75,0.5,0.0,0.3333,0.5,0.5,1.0,0.5,0.5,1.0,0.25,0.6667,1.0,0.5,0.25,1.0,0.75,0.3333,0.5,0.5,1.0,0.5,0.25,0.0,0.75
Boston Celtics,0.5,,0.75,0.6667,0.75,0.6667,0.0,1.0,0.75,0.5,1.0,0.75,0.0,0.5,1.0,0.6667,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5
Brooklyn Nets,0.6667,0.25,,0.3333,0.3333,0.75,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.25,0.25,0.5,1.0,1.0,0.5,0.75,0.75,0.0,0.5,0.5,1.0,0.5,0.5,0.5
Chicago Bulls,0.75,0.3333,0.6667,,0.6667,0.75,0.5,1.0,1.0,0.0,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.75,0.0,0.0,0.5,0.5,0.5,0.75,0.5,1.0
Charlotte Hornets,0.5,0.25,0.6667,0.3333,,0.5,0.5,0.5,0.6667,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.75,1.0,0.75,0.25,0.0,0.5,0.5,1.0,0.3333,0.5,0.75
Cleveland Cavaliers,0.25,0.3333,0.25,0.25,0.5,,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.6667,0.75,0.5,0.5,1.0,1.0,0.6667,0.0,0.0,1.0,1.0,1.0,0.75,0.5,0.5
Dallas Mavericks,0.5,1.0,0.5,0.5,0.5,0.5,,0.6667,1.0,0.75,1.0,0.5,0.5,0.6667,0.75,0.5,0.5,0.5,0.75,0.0,0.75,0.5,0.5,0.0,1.0,0.75,1.0,1.0,0.5,0.0
Denver Nuggets,1.0,0.0,1.0,0.0,0.5,0.0,0.3333,,1.0,0.75,1.0,1.0,0.75,0.6667,0.25,1.0,0.5,0.25,0.75,1.0,0.5,0.5,0.5,0.3333,0.75,1.0,0.5,0.5,0.0,1.0
Detroit Pistons,0.6667,0.25,0.0,0.0,0.3333,0.5,0.0,0.0,,0.0,0.5,0.75,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.5,0.5,1.0,0.5,0.0
Golden State Warriors,0.5,0.5,1.0,1.0,0.5,1.0,0.25,0.25,1.0,,1.0,0.5,0.75,0.75,0.25,1.0,0.5,0.5,0.6667,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.75,0.5
