Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,0.6667,1.0,0.6667,0.5,0.75,1.0,0.5,0.75,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.75,1.0,0.5,0.6667,0.5,0.75,0.75,1.0,1.0,1.0,0.0,0.25,1.0,0.75
2,Boston Celtics,0.3333,,0.75,0.25,0.5,0.5,0.0,1.0,0.6667,0.0,0.0,0.75,0.0,0.5,0.5,0.25,0.3333,0.5,1.0,0.75,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.3333
3,Brooklyn Nets,0.0,0.25,,0.25,0.6667,0.25,0.5,1.0,0.6667,0.5,0.0,0.6667,0.5,1.0,0.0,0.0,0.25,0.5,0.0,1.0,1.0,1.0,0.75,0.0,0.5,1.0,0.5,0.5,0.0,0.5
4,Chicago Bulls,0.3333,0.75,0.75,,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6667,0.75,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5
5,Charlotte Hornets,0.5,0.5,0.3333,0.5,,0.0,0.0,1.0,0.5,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.6667,1.0,0.5,0.75,0.0,0.5,0.6667,0.5,0.0,0.0,0.0,0.5,0.5,0.5
6,Cleveland Cavaliers,0.25,0.5,0.75,0.75,1.0,,0.5,0.5,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.75,1.0,0.5,0.6667,0.5,1.0,0.6667,0.5,0.5,0.5,0.5,0.75,0.5,0.75
7,Dallas Mavericks,0.0,1.0,0.5,0.5,1.0,0.5,,0.6667,0.5,0.0,0.25,0.0,0.3333,1.0,0.25,0.5,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.25,0.5,1.0,0.5,1.0,0.75,1.0
8,Denver Nuggets,0.5,0.0,0.0,0.5,0.0,0.5,0.3333,,0.5,0.3333,0.0,1.0,0.25,0.75,0.3333,0.5,0.5,0.75,0.75,0.5,0.25,1.0,0.0,0.3333,0.0,0.5,0.0,0.0,0.5,0.0
9,Detroit Pistons,0.25,0.3333,0.3333,0.5,0.5,0.25,0.5,0.5,,0.0,0.5,0.5,0.0,0.0,0.5,0.6667,0.25,0.0,0.0,0.75,0.5,0.75,0.25,0.5,0.0,1.0,0.5,0.5,0.0,0.3333
10,Golden State Warriors,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.6667,1.0,,1.0,0.5,0.75,0.75,0.6667,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.3333,1.0,0.75,1.0
11,Houston Rockets,0.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.5,0.0,,1.0,0.5,0.6667,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.75,0.3333,1.0,0.25,0.5,0.75,0.5
12,Indiana Pacers,0.0,0.25,0.3333,0.5,0.75,0.5,1.0,0.0,0.5,0.5,0.0,,0.0,0.5,0.0,0.75,0.5,0.5,1.0,1.0,0.5,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.5
13,Los Angeles Clippers,0.0,1.0,0.5,0.5,1.0,0.0,0.6667,0.75,1.0,0.25,0.5,1.0,,1.0,0.5,0.5,0.5,1.0,0.6667,1.0,0.6667,1.0,1.0,1.0,0.75,0.75,0.5,0.0,1.0,0.5
14,Los Angeles Lakers,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.25,1.0,0.25,0.3333,0.5,0.0,,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.3333,0.5,0.3333,0.0
15,Memphis Grizzlies,0.5,0.5,1.0,0.5,1.0,0.0,0.75,0.6667,0.5,0.3333,0.5,1.0,0.5,1.0,,1.0,0.5,0.6667,0.5,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.5,0.0
16,Miami Heat,0.0,0.75,1.0,0.3333,0.5,0.5,0.5,0.5,0.3333,0.0,0.0,0.25,0.5,1.0,0.0,,0.0,0.5,0.0,1.0,0.0,0.75,0.75,1.0,0.5,1.0,0.0,0.3333,0.5,0.25
17,Milwaukee Bucks,0.25,0.6667,0.75,0.25,0.3333,0.25,0.0,0.5,0.75,0.0,0.0,0.5,0.5,0.5,0.5,1.0,,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.3333,0.0,0.3333
18,Minnesota Timberwolves,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.5,0.0,0.25,0.3333,0.5,0.0,,0.0,1.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.5
19,New Orleans Pelicans,0.5,0.0,1.0,0.0,0.5,0.5,0.25,0.25,1.0,0.25,0.5,0.0,0.3333,1.0,0.5,1.0,1.0,1.0,,0.5,0.75,0.5,0.5,0.6667,0.0,0.75,0.75,1.0,0.6667,0.0
20,New York Knicks,0.3333,0.25,0.0,0.0,0.25,0.3333,0.0,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,,0.5,0.5,0.75,0.0,0.0,0.0,0.5,0.25,0.0,0.0
21,Oklahoma City Thunder,0.5,1.0,0.0,0.5,1.0,0.5,0.25,0.75,0.5,0.25,0.0,0.5,0.3333,1.0,0.25,1.0,0.5,1.0,0.25,0.5,,1.0,1.0,0.75,0.25,0.75,0.3333,0.5,0.5,1.0
22,Orlando Magic,0.25,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.0,0.25,0.5,1.0,0.5,0.5,0.0,,0.6667,0.5,0.5,1.0,0.0,0.0,0.5,0.0
23,Philadelphia 76ers,0.25,0.0,0.25,0.0,0.3333,0.3333,0.0,1.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,1.0,0.5,0.25,0.0,0.3333,,0.0,0.0,0.5,0.0,0.0,0.0,0.25
24,Phoenix Suns,0.0,0.5,1.0,0.5,0.5,0.5,0.75,0.6667,0.5,0.25,0.25,1.0,0.0,1.0,0.0,0.0,0.5,0.75,0.3333,1.0,0.25,0.5,1.0,,0.25,0.25,0.25,0.5,0.6667,1.0
25,Portland Trail Blazers,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.6667,1.0,0.25,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.75,0.5,1.0,0.75,,0.6667,0.75,1.0,0.5,0.5
26,Sacramento Kings,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.25,0.75,0.25,0.0,0.0,1.0,0.25,1.0,0.25,0.0,0.5,0.75,0.3333,,0.25,0.0,0.25,0.5
27,San Antonio Spurs,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.6667,0.75,1.0,0.5,0.6667,0.5,1.0,1.0,1.0,0.25,0.5,0.6667,1.0,1.0,0.75,0.25,0.75,,0.5,0.3333,0.5
28,Toronto Raptors,0.75,0.5,0.5,0.0,0.5,0.25,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.6667,0.6667,1.0,0.0,0.75,0.5,1.0,1.0,0.5,0.0,1.0,0.5,,1.0,1.0
29,Utah Jazz,0.0,0.0,1.0,0.5,0.5,0.5,0.25,0.5,1.0,0.25,0.25,0.0,0.0,0.6667,0.5,0.5,1.0,0.75,0.3333,1.0,0.5,0.5,1.0,0.3333,0.5,0.75,0.6667,0.0,,0.0
30,Washington Wizards,0.25,0.6667,0.5,0.5,0.5,0.25,0.0,1.0,0.6667,0.0,0.5,0.5,0.5,1.0,1.0,0.75,0.6667,0.5,1.0,1.0,0.0,1.0,0.75,0.0,0.5,0.5,0.5,0.0,1.0,
