"year","round","game","home_team","away_team","home_score","away_score"
2021,"final",1,"Phoenix Suns","Milwaukee Bucks",105,118
2021,"final",2,"Phoenix Suns","Milwaukee Bucks",108,118
2021,"final",3,"Milwaukee Bucks","Phoenix Suns",100,120
2021,"final",4,"Milwaukee Bucks","Phoenix Suns",103,109
2021,"final",5,"Phoenix Suns","Milwaukee Bucks",123,119
2021,"final",6,"Milwaukee Bucks","Phoenix Suns",98,105
2021,"third",1,"Milwaukee Bucks","Atlanta Hawks",113,116
2021,"third",2,"Milwaukee Bucks","Atlanta Hawks",125,91
2021,"third",3,"Atlanta Hawks","Milwaukee Bucks",102,113
2021,"third",4,"Atlanta Hawks","Milwaukee Bucks",110,88
2021,"third",5,"Milwaukee Bucks","Atlanta Hawks",123,112
2021,"third",6,"Atlanta Hawks","Milwaukee Bucks",107,118
2021,"third",1,"Phoenix Suns","Los Angeles Clippers",120,114
2021,"third",2,"Phoenix Suns","Los Angeles Clippers",104,103
2021,"third",3,"Los Angeles Clippers","Phoenix Suns",106,92
2021,"third",4,"Los Angeles Clippers","Phoenix Suns",80,84
2021,"third",5,"Phoenix Suns","Los Angeles Clippers",102,116
2021,"third",6,"Los Angeles Clippers","Phoenix Suns",103,130
2021,"second",1,"Philadelphia 76ers","Atlanta Hawks",124,128
2021,"second",2,"Philadelphia 76ers","Atlanta Hawks",118,102
2021,"second",3,"Atlanta Hawks","Philadelphia 76ers",111,127
2021,"second",4,"Atlanta Hawks","Philadelphia 76ers",103,100
2021,"second",5,"Philadelphia 76ers","Atlanta Hawks",106,109
2021,"second",6,"Atlanta Hawks","Philadelphia 76ers",99,104
2021,"second",7,"Philadelphia 76ers","Atlanta Hawks",96,103
2021,"second",1,"Brooklyn Nets","Milwaukee Bucks",115,107
2021,"second",2,"Brooklyn Nets","Milwaukee Bucks",125,86
2021,"second",3,"Milwaukee Bucks","Brooklyn Nets",86,83
2021,"second",4,"Milwaukee Bucks","Brooklyn Nets",107,96
2021,"second",5,"Brooklyn Nets","Milwaukee Bucks",114,108
2021,"second",6,"Milwaukee Bucks","Brooklyn Nets",104,89
2021,"second",7,"Brooklyn Nets","Milwaukee Bucks",111,115
2021,"second",1,"Utah Jazz","Los Angeles Clippers",112,109
2021,"second",2,"Utah Jazz","Los Angeles Clippers",117,111
2021,"second",3,"Los Angeles Clippers","Utah Jazz",132,106
2021,"second",4,"Los Angeles Clippers","Utah Jazz",118,104
2021,"second",5,"Utah Jazz","Los Angeles Clippers",111,119
2021,"second",6,"Los Angeles Clippers","Utah Jazz",131,119
2021,"second",1,"Phoenix Suns","Denver Nuggets",122,105
2021,"second",2,"Phoenix Suns","Denver Nuggets",123,98
2021,"second",3,"Denver Nuggets","Phoenix Suns",102,116
2021,"second",4,"Denver Nuggets","Phoenix Suns",118,125
2021,"first",1,"New York Knicks","Atlanta Hawks",105,107
2021,"first",2,"New York Knicks","Atlanta Hawks",101,92
2021,"first",3,"Atlanta Hawks","New York Knicks",105,94
2021,"first",4,"Atlanta Hawks","New York Knicks",113,96
2021,"first",5,"New York Knicks","Atlanta Hawks",89,103
2021,"first",1,"Brooklyn Nets","Boston Celtics",104,93
2021,"first",2,"Brooklyn Nets","Boston Celtics",130,108
2021,"first",3,"Boston Celtics","Brooklyn Nets",125,119
2021,"first",4,"Boston Celtics","Brooklyn Nets",126,141
2021,"first",5,"Brooklyn Nets","Boston Celtics",123,109
2021,"first",1,"Milwaukee Bucks","Miami Heat",109,107
2021,"first",2,"Milwaukee Bucks","Miami Heat",132,98
2021,"first",3,"Miami Heat","Milwaukee Bucks",84,113
2021,"first",4,"Miami Heat","Milwaukee Bucks",103,120
2021,"first",1,"Philadelphia 76ers","Washington Wizards",125,118
2021,"first",2,"Philadelphia 76ers","Washington Wizards",120,95
2021,"first",3,"Washington Wizards","Philadelphia 76ers",103,132
2021,"first",4,"Washington Wizards","Philadelphia 76ers",122,114
2021,"first",5,"Philadelphia 76ers","Washington Wizards",129,112
2021,"first",1,"Denver Nuggets","Portland Trail Blazers",109,123
2021,"first",2,"Denver Nuggets","Portland Trail Blazers",128,109
2021,"first",3,"Portland Trail Blazers","Denver Nuggets",115,120
2021,"first",4,"Portland Trail Blazers","Denver Nuggets",115,95
2021,"first",5,"Denver Nuggets","Portland Trail Blazers",147,140
2021,"first",6,"Portland Trail Blazers","Denver Nuggets",115,126
2021,"first",1,"Los Angeles Clippers","Dallas Mavericks",103,113
2021,"first",2,"Los Angeles Clippers","Dallas Mavericks",121,127
2021,"first",3,"Dallas Mavericks","Los Angeles Clippers",108,118
2021,"first",4,"Dallas Mavericks","Los Angeles Clippers",81,106
2021,"first",5,"Los Angeles Clippers","Dallas Mavericks",100,105
2021,"first",6,"Dallas Mavericks","Los Angeles Clippers",97,104
2021,"first",7,"Los Angeles Clippers","Dallas Mavericks",126,111
2021,"first",1,"Phoenix Suns","Los Angeles Lakers",99,90
2021,"first",2,"Phoenix Suns","Los Angeles Lakers",102,109
2021,"first",3,"Los Angeles Lakers","Phoenix Suns",109,95
2021,"first",4,"Los Angeles Lakers","Phoenix Suns",92,100
2021,"first",5,"Phoenix Suns","Los Angeles Lakers",115,85
2021,"first",6,"Los Angeles Lakers","Phoenix Suns",100,113
2021,"first",1,"Utah Jazz","Memphis Grizzlies",109,112
2021,"first",2,"Utah Jazz","Memphis Grizzlies",141,129
2021,"first",3,"Memphis Grizzlies","Utah Jazz",111,121
2021,"first",4,"Memphis Grizzlies","Utah Jazz",113,120
2021,"first",5,"Utah Jazz","Memphis Grizzlies",126,110
2020,"final",1,"Los Angeles Lakers","Miami Heat",116,98
2020,"final",2,"Los Angeles Lakers","Miami Heat",124,114
2020,"final",3,"Miami Heat","Los Angeles Lakers",115,104
