Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks*,72,242.1,37.9,86.2,.440,12.0,35.6,.337,25.9,50.6,.512,16.9,22.2,.761,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7
2,Los Angeles Lakers*,72,242.4,39.8,86.4,.460,11.4,32.2,.352,28.4,54.2,.524,15.9,20.5,.776,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8
3,Utah Jazz*,72,241.0,40.9,91.4,.447,10.9,31.8,.341,30.0,59.6,.504,14.5,18.9,.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2
4,Los Angeles Clippers*,72,240.0,40.1,86.4,.464,11.6,32.5,.356,28.5,53.9,.529,16.1,20.7,.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8
5,Miami Heat*,72,241.4,39.1,85.2,.459,14.3,39.1,.365,24.8,46.2,.538,15.6,19.9,.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0
6,Philadelphia 76ers*,72,242.1,39.4,86.9,.453,11.9,33.0,.360,27.5,53.9,.510,17.4,22.8,.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1
7,Phoenix Suns*,72,242.8,40.5,86.8,.467,11.6,32.8,.354,28.9,54.0,.535,16.8,21.7,.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5
8,Denver Nuggets*,72,242.8,40.0,85.4,.469,13.0,35.7,.363,27.1,49.7,.545,17.1,22.1,.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1
9,Dallas Mavericks*,72,240.3,40.1,87.1,.460,12.8,35.2,.365,27.2,51.8,.525,17.2,22.5,.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2
10,Detroit Pistons,72,242.1,41.4,86.9,.476,11.3,31.4,.362,30.0,55.6,.541,17.0,22.3,.760,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1
11,Boston Celtics*,72,241.4,39.9,86.0,.464,12.8,34.3,.374,27.1,51.6,.524,18.5,23.5,.785,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2
12,Atlanta Hawks*,72,241.7,41.3,89.1,.463,11.9,34.2,.349,29.3,55.0,.534,16.9,21.1,.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4
13,Charlotte Hornets,72,241.0,41.3,88.1,.468,14.5,39.5,.366,26.8,48.6,.552,14.4,19.3,.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4
14,Chicago Bulls,72,241.4,41.4,87.7,.473,11.5,32.3,.356,29.9,55.3,.541,17.2,22.2,.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6
15,Toronto Raptors,72,240.3,39.0,84.7,.461,13.9,36.7,.379,25.1,48.0,.523,19.8,24.8,.799,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7
16,Memphis Grizzlies*,72,241.7,41.0,88.7,.462,12.9,35.1,.367,28.2,53.6,.525,17.4,22.1,.788,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3
17,Cleveland Cavaliers,72,242.1,42.0,86.7,.484,12.4,32.4,.383,29.6,54.3,.545,15.9,20.4,.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3
18,Golden State Warriors,72,240.3,40.2,89.0,.452,12.4,34.5,.359,27.9,54.5,.511,19.8,25.5,.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7
