Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,67,16280,.478,13.2,,.639,.322,.152,.090,.075,.361,,.542,.673,.389,.442,.413,.363,,.482,.826,,.069,369,,.303,1017,,.192,.373
2,Boston Celtics*,72,17430,.441,14.4,,.601,.250,.186,.087,.078,.399,,.508,.663,.399,.402,.391,.340,,.479,.818,,.055,305,,.275,895,,.198,.388
3,Brooklyn Nets*,72,17480,.446,14.2,,.625,.241,.173,.117,.094,.375,,.503,.650,.404,.433,.396,.350,,.451,.777,,.049,282,,.252,901,,.203,.358
4,Chicago Bulls,65,15675,.479,13.1,,.617,.344,.147,.071,.055,.383,,.557,.687,.369,.435,.401,.353,,.564,.847,,.072,350,,.310,957,,.249,.412
5,Charlotte Hornets,65,15750,.476,13.7,,.599,.316,.150,.073,.060,.401,,.558,.681,.408,.470,.398,.352,,.550,.853,,.069,351,,.295,955,,.250,.380
6,Cleveland Cavaliers,65,15725,.491,13.3,,.631,.330,.148,.079,.075,.369,,.558,.689,.421,.409,.406,.375,,.514,.803,,.068,360,,.281,989,,.232,.414
7,Dallas Mavericks*,75,18175,.458,13.8,,.619,.274,.177,.092,.076,.381,,.523,.670,.394,.416,.423,.351,,.480,.790,,.059,360,,.268,989,,.184,.388
8,Denver Nuggets*,73,17745,.463,13.7,,.608,.294,.163,.087,.064,.392,,.530,.678,.397,.402,.365,.358,,.550,.829,,.069,391,,.277,959,,.238,.403
9,Detroit Pistons,66,15965,.480,13.1,,.661,.293,.193,.094,.081,.339,,.541,.685,.415,.469,.409,.361,,.507,.821,,.067,342,,.288,931,,.216,.415
10,Golden State Warriors,65,15725,.476,14.2,,.607,.262,.186,.089,.071,.393,,.533,.693,.400,.421,.428,.389,,.519,.830,,.066,338,,.281,888,,.211,.452
11,Houston Rockets*,72,17380,.462,13.7,,.617,.296,.164,.089,.067,.383,,.532,.690,.386,.377,.402,.349,,.516,.798,,.054,333,,.294,1108,,.259,.345
12,Indiana Pacers*,73,17620,.446,13.8,,.620,.300,.163,.082,.075,.380,,.511,.625,.418,.403,.376,.341,,.488,.821,,.058,337,,.289,961,,.203,.349
13,Los Angeles Clippers*,72,17380,.438,14.5,,.605,.260,.158,.100,.087,.395,,.499,.660,.388,.394,.339,.345,,.513,.795,,.051,298,,.249,864,,.190,.368
14,Los Angeles Lakers*,71,17090,.448,14.0,,.616,.281,.170,.086,.080,.384,,.510,.656,.377,.396,.404,.349,,.502,.828,,.064,342,,.270,866,,.198,.390
15,Memphis Grizzlies,73,17570,.450,14.1,,.609,.275,.152,.101,.081,.391,,.504,.634,.391,.412,.390,.365,,.514,.822,,.052,300,,.261,918,,.210,.418
16,Miami Heat*,73,17745,.448,14.7,,.565,.257,.159,.082,.068,.435,,.525,.687,.415,.373,.352,.347,,.535,.826,,.058,344,,.242,875,,.229,.368
17,Milwaukee Bucks*,73,17595,.414,15.4,,.582,.221,.150,.125,.085,.418,,.457,.601,.334,.397,.387,.355,,.497,.841,,.042,245,,.235,737,,.202,.386
18,Minnesota Timberwolves,64,15560,.477,13.2,,.647,.305,.163,.097,.082,.353,,.539,.673,.395,.417,.474,.363,,.488,.777,,.055,295,,.309,993,,.187,.407
19,New Orleans Pelicans,72,17430,.465,13.3,,.631,.319,.161,.082,.070,.369,,.526,.654,.384,.390,.434,.361,,.488,.785,,.063,373,,.306,1087,,.209,.422
20,New York Knicks,66,15965,.463,14.3,,.594,.279,.144,.092,.080,.406,,.520,.666,.377,.418,.383,.381,,.513,.804,,.063,324,,.258,789,,.201,.415
21,Oklahoma City Thunder*,72,17430,.455,13.9,,.629,.273,.178,.095,.084,.371,,.523,.667,.407,.429,.406,.340,,.472,.803,,.055,317,,.293,1013,,.211,.354
22,Orlando Magic*,73,17570,.465,14.2,,.613,.260,.172,.100,.082,.387,,.529,.684,.381,.445,.445,.364,,.509,.848,,.055,309,,.273,935,,.200,.422
23,Philadelphia 76ers*,73,17595,.463,13.5,,.658,.277,.173,.113,.094,.342,,.520,.692,.392,.400,.395,.353,,.500,.776,,.063,352,,.274,953,,.159,.383
24,Phoenix Suns,73,17595,.472,13.4,,.634,.311,.152,.089,.082,.366,,.535,.660,.418,.401,.421,.363,,.490,.783,,.060,353,,.287,1017,,.204,.379
25,Portland Trail Blazers*,74,17835,.456,13.7,,.614,.297,.156,.088,.072,.386,,.501,.618,.381,.395,.411,.383,,.494,.808,,.057,346,,.272,960,,.214,.405
26,Sacramento Kings,72,17455,.471,14.1,,.593,.275,.167,.085,.066,.407,,.549,.708,.402,.436,.399,.357,,.523,.830,,.058,325,,.272,985,,.223,.378
27,San Antonio Spurs,71,17215,.469,14.0,,.611,.282,.158,.094,.076,.389,,.530,.665,.393,.420,.451,.373,,.507,.831,,.060,343,,.271,945,,.191,.401
28,Toronto Raptors*,72,17380,.428,14.7,,.560,.261,.149,.091,.060,.440,,.499,.624,.385,.409,.379,.337,,.566,.884,,.046,251,,.247,813,,.308,.365
29,Utah Jazz*,72,17355,.457,13.8,,.652,.248,.191,.119,.094,.348,,.512,.673,.398,.440,.409,.353,,.439,.771,,.048,283,,.265,934,,.167,.389
30,Washington Wizards,72,17355,.488,13.8,,.625,.274,.182,.088,.080,.375,,.555,.700,.445,.444,.431,.376,,.495,.806,,.065,373,,.291,1041,,.181,.424
