Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Dec,Jan,Feb,Mar,Apr,May
1,Utah Jazz,52-20,31-5,21-15,24-6,28-14,7-3,10-0,7-3,7-5,8-7,13-2,27-9,25-11,3-2,39-7,2-2,13-3,12-2,9-4,9-7,7-2
2,Phoenix Suns,51-21,27-9,24-12,21-9,30-12,7-3,8-2,6-4,11-4,7-5,12-3,24-11,27-10,9-3,23-8,4-1,6-7,12-3,11-3,12-4,6-3
3,Philadelphia 76ers,49-23,29-7,20-16,31-11,18-12,10-2,8-7,13-2,5-5,6-4,7-3,24-12,25-11,7-3,27-12,4-1,11-5,7-6,10-3,10-6,7-2
4,Brooklyn Nets,48-24,28-8,20-16,26-16,22-8,8-4,9-6,9-6,7-3,9-1,6-4,24-13,24-11,3-5,24-11,3-2,10-7,9-4,11-2,10-6,5-3
5,Denver Nuggets,47-25,25-11,22-14,21-9,26-16,5-5,9-1,7-3,9-3,6-9,11-4,21-15,26-10,6-4,29-11,1-3,11-5,6-7,11-3,13-3,5-4
6,Los Angeles Clippers,47-25,26-10,21-15,20-10,27-15,4-6,9-1,7-3,10-5,9-3,8-7,24-14,23-11,3-4,31-7,4-1,12-4,8-7,8-5,11-4,4-4
7,Milwaukee Bucks,46-26,26-10,20-16,30-12,16-14,8-7,11-1,11-4,6-4,5-5,5-5,22-14,24-12,6-5,29-12,2-3,9-5,10-5,9-4,9-7,7-2
8,Dallas Mavericks,42-30,21-15,21-15,21-9,21-21,6-4,6-4,9-1,8-7,6-9,7-5,18-16,24-14,5-4,26-17,1-3,7-9,8-4,9-5,10-6,7-3
9,Los Angeles Lakers,42-30,21-15,21-15,17-13,25-17,4-6,8-2,5-5,10-5,4-8,11-4,24-13,18-17,7-5,22-13,3-2,12-4,9-5,6-7,6-9,6-3
10,Portland Trail Blazers,42-30,20-16,22-14,19-11,23-19,7-3,6-4,6-4,6-6,7-8,10-5,21-14,21-16,10-9,19-12,2-2,8-6,8-6,11-4,6-10,7-2
11,Atlanta Hawks,41-31,25-11,16-20,24-18,17-13,7-8,8-7,9-3,5-5,6-4,6-4,16-20,25-11,3-3,25-15,3-1,7-8,4-11,9-4,11-6,7-1
12,New York Knicks,41-31,25-11,16-20,25-17,16-14,4-8,11-4,10-5,4-6,4-6,8-2,19-18,22-13,2-9,24-15,2-3,7-9,9-5,6-7,11-4,6-3
13,Miami Heat,40-32,21-15,19-17,24-18,16-14,9-6,9-6,6-6,5-5,5-5,6-4,18-18,22-14,4-5,17-17,2-2,5-10,10-5,7-7,9-6,7-2
14,Golden State Warriors,39-33,25-11,14-22,14-16,25-17,3-7,8-2,3-7,10-5,5-7,10-5,19-18,20-15,6-4,25-18,2-2,9-7,8-7,4-8,8-8,8-1
15,Memphis Grizzlies,38-34,18-18,20-16,19-11,19-23,6-4,5-5,8-2,7-8,6-9,6-6,16-16,22-18,3-7,23-21,1-3,7-3,7-9,7-8,10-7,6-4
16,Boston Celtics,36-36,21-15,15-21,20-22,16-14,4-8,7-8,9-6,6-4,6-4,4-6,19-17,17-19,7-5,17-12,3-2,7-6,7-9,6-8,11-5,2-6
17,Washington Wizards,34-38,19-17,15-21,16-26,18-12,4-11,9-6,3-9,9-1,7-3,2-8,14-20,20-18,11-8,14-20,0-5,4-7,9-7,4-10,12-5,5-4
18,Indiana Pacers,34-38,13-23,21-15,20-22,14-16,5-10,7-5,8-7,5-5,2-8,7-3,16-19,18-19,5-4,15-17,4-1,7-8,4-8,6-8,8-8,5-5
