Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,19705,38.0,87.2,.436,7.0,21.2,.331,31.0,65.9,.470,15.9,20.9,.758,9.7,33.5,43.2,22.2,7.7,4.1,15.8,20.7,99.0
2,Atlanta Hawks*,82,19830,38.0,87.9,.432,8.5,25.0,.338,29.5,62.9,.469,17.0,22.6,.755,11.8,35.7,47.5,22.5,8.8,5.1,16.5,18.7,101.4
3,Indiana Pacers*,82,19880,38.3,87.0,.440,8.5,25.4,.334,29.8,61.5,.484,17.8,23.7,.751,11.0,34.7,45.6,21.3,7.9,4.6,16.2,20.9,102.9
4,Boston Celtics*,82,19780,37.9,85.9,.441,7.9,23.6,.336,30.0,62.4,.481,19.9,26.3,.755,11.5,35.0,46.5,21.1,7.7,5.5,16.6,21.2,103.6
5,Los Angeles Clippers*,82,19830,38.1,87.8,.434,8.1,24.1,.338,29.9,63.6,.471,19.5,26.0,.751,12.2,36.1,48.4,22.0,7.4,3.3,15.9,23.3,103.8
6,Golden State Warriors*,82,19880,38.7,89.1,.435,7.8,23.4,.332,31.0,65.7,.472,18.5,24.5,.757,11.4,32.4,43.7,22.2,8.6,4.1,14.4,19.8,103.8
7,Utah Jazz,82,19955,38.6,86.6,.446,8.6,24.0,.357,30.0,62.5,.480,18.2,24.3,.746,10.1,33.3,43.4,20.7,8.6,5.1,15.1,21.5,103.9
8,Charlotte Hornets*,82,19855,39.1,88.1,.444,9.2,26.3,.349,30.0,61.8,.485,16.9,21.9,.769,9.2,37.1,46.3,24.0,7.0,5.7,13.9,21.1,104.3
9,Miami Heat*,82,19830,39.5,89.4,.442,7.8,22.5,.347,31.7,66.9,.474,17.5,22.8,.770,10.4,33.4,43.8,21.4,7.9,4.4,13.7,20.8,104.4
10,Cleveland Cavaliers*,82,19855,39.1,87.3,.448,8.4,24.1,.347,30.7,63.2,.487,17.9,24.0,.743,9.8,33.7,43.6,22.8,7.6,4.7,14.2,21.9,104.5
11,Toronto Raptors*,82,19780,39.1,87.9,.444,9.4,25.1,.373,29.7,62.8,.473,17.7,23.6,.748,10.2,33.5,43.7,23.3,7.0,5.8,14.3,23.5,105.2
12,Detroit Pistons*,82,19880,40.4,87.6,.461,7.6,21.3,.355,32.8,66.3,.495,17.1,21.9,.783,9.2,35.1,44.3,22.4,7.4,4.6,14.0,22.5,105.5
13,Oklahoma City Thunder*,82,19830,39.4,90.0,.438,8.3,24.4,.342,31.1,65.6,.474,18.4,24.4,.756,11.6,29.7,41.3,22.1,9.0,4.7,13.4,20.7,105.6
14,Washington Wizards,82,19755,39.1,84.7,.462,9.1,24.5,.371,30.0,60.2,.498,18.5,24.0,.769,9.5,35.3,44.8,22.8,8.2,4.4,16.3,20.4,105.8
