Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19730,.460,12.8,,.792,.272,.165,.100,.255,.208,,.492,.650,.404,.409,.415,.338,,.532,.861,,.047,275,,.219,865,,.261,.363
2,Boston Celtics*,82,19780,.434,12.5,,.795,.279,.161,.133,.222,.205,,.459,.609,.389,.367,.376,.340,,.497,.851,,.041,240,,.221,784,,.266,.363
3,Charlotte Bobcats,82,19805,.455,12.8,,.752,.302,.148,.104,.199,.248,,.487,.630,.378,.382,.407,.359,,.541,.847,,.054,312,,.238,881,,.286,.359
4,Chicago Bulls*,82,19830,.430,13.0,,.799,.263,.167,.120,.250,.201,,.456,.632,.345,.389,.378,.326,,.504,.836,,.040,251,,.222,832,,.230,.346
5,Cleveland Cavaliers,82,19755,.475,12.6,,.763,.284,.172,.108,.198,.237,,.495,.652,.380,.432,.404,.411,,.548,.870,,.046,285,,.228,948,,.265,.432
6,Dallas Mavericks*,82,19705,.450,12.7,,.778,.265,.186,.116,.211,.222,,.481,.664,.401,.396,.367,.343,,.504,.854,,.050,317,,.202,798,,.241,.385
7,Denver Nuggets*,82,19705,.459,13.3,,.756,.264,.164,.095,.233,.244,,.495,.660,.416,.412,.400,.344,,.516,.849,,.042,263,,.216,915,,.255,.396
8,Detroit Pistons,82,19880,.486,12.3,,.772,.318,.149,.093,.212,.228,,.523,.677,.405,.404,.427,.358,,.558,.891,,.055,337,,.250,999,,.290,.401
9,Golden State Warriors,82,19830,.467,12.3,,.766,.295,.184,.102,.185,.234,,.501,.658,.392,.366,.432,.358,,.581,.907,,.053,334,,.224,953,,.267,.381
10,Houston Rockets,82,19880,.468,12.0,,.821,.273,.211,.112,.224,.179,,.492,.661,.397,.409,.417,.358,,.471,.850,,.048,311,,.225,961,,.242,.421
11,Indiana Pacers*,82,19780,.449,12.9,,.792,.259,.166,.128,.238,.208,,.473,.622,.398,.368,.420,.359,,.482,.855,,.044,268,,.221,882,,.258,.403
12,Los Angeles Clippers,82,19855,.455,13.1,,.761,.264,.175,.105,.217,.239,,.484,.656,.404,.406,.376,.365,,.542,.844,,.052,311,,.214,878,,.262,.399
13,Los Angeles Lakers*,82,19830,.437,13.1,,.758,.250,.182,.114,.211,.242,,.469,.627,.391,.385,.396,.335,,.542,.894,,.047,285,,.209,839,,.280,.362
14,Memphis Grizzlies*,82,19880,.457,12.9,,.755,.274,.178,.107,.197,.245,,.486,.664,.368,.398,.393,.369,,.512,.860,,.046,272,,.217,876,,.260,.408
15,Miami Heat*,82,19780,.434,12.8,,.761,.262,.189,.114,.195,.239,,.462,.592,.406,.399,.377,.345,,.508,.861,,.050,289,,.221,765,,.265,.398
16,Milwaukee Bucks,82,19830,.447,12.5,,.794,.284,.156,.142,.211,.206,,.476,.614,.394,.410,.396,.334,,.535,.858,,.044,250,,.228,821,,.279,.353
17,Minnesota Timberwolves,82,19780,.468,13.1,,.753,.276,.151,.109,.217,.247,,.499,.669,.392,.391,.410,.374,,.564,.890,,.059,370,,.209,878,,.291,.380
18,New Jersey Nets,82,20005,.465,12.5,,.789,.280,.179,.109,.221,.211,,.492,.633,.409,.409,.422,.364,,.537,.882,,.052,314,,.236,891,,.284,.386
19,New Orleans Hornets*,82,19830,.457,13.3,,.752,.249,.177,.116,.210,.248,,.490,.685,.409,.384,.387,.357,,.538,.878,,.047,274,,.206,831,,.269,.407
20,New York Knicks*,82,19780,.472,11.9,,.790,.295,.204,.102,.189,.210,,.499,.653,.372,.405,.445,.372,,.458,.826,,.054,330,,.240,993,,.283,.397
21,Oklahoma City Thunder*,82,20005,.458,11.7,,.804,.298,.200,.105,.201,.196,,.481,.650,.371,.377,.395,.361,,.488,.880,,.055,335,,.236,976,,.256,.395
22,Orlando Magic*,82,19830,.436,13.5,,.775,.229,.173,.120,.253,.225,,.461,.633,.402,.395,.378,.350,,.509,.874,,.040,241,,.187,714,,.282,.418
23,Philadelphia 76ers*,82,19930,.451,12.4,,.793,.274,.181,.121,.216,.207,,.480,.647,.371,.380,.417,.340,,.542,.840,,.041,247,,.226,908,,.228,.380
24,Phoenix Suns,82,20005,.472,12.9,,.773,.243,.202,.110,.217,.227,,.502,.690,.403,.437,.418,.367,,.518,.821,,.045,300,,.188,846,,.302,.402
25,Portland Trail Blazers*,82,19805,.467,12.4,,.768,.296,.177,.093,.203,.232,,.497,.637,.399,.410,.418,.367,,.480,.819,,.048,273,,.240,869,,.291,.370
26,Sacramento Kings,82,19855,.478,12.1,,.802,.261,.221,.112,.208,.198,,.508,.714,.382,.421,.429,.355,,.495,.838,,.056,362,,.212,957,,.262,.390
27,San Antonio Spurs*,82,19780,.456,12.5,,.810,.256,.194,.122,.237,.190,,.477,.628,.410,.413,.401,.367,,.485,.835,,.035,216,,.221,877,,.254,.468
28,Toronto Raptors,82,19780,.482,11.8,,.784,.341,.158,.100,.187,.216,,.511,.644,.437,.389,.396,.376,,.515,.882,,.066,394,,.256,999,,.300,.387
29,Utah Jazz,82,19880,.459,12.7,,.757,.270,.198,.097,.193,.243,,.486,.640,.396,.391,.410,.376,,.498,.873,,.045,261,,.213,810,,.280,.426
30,Washington Wizards,82,19930,.471,12.3,,.777,.295,.178,.098,.207,.223,,.499,.693,.344,.417,.394,.373,,.544,.852,,.061,389,,.225,957,,.291,.428
