Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,66,15940,42.3,88.5,.478,8.9,22.8,.393,33.4,65.8,.507,17.3,23.1,.748,11.1,34.9,46.0,24.8,7.9,4.7,14.5,18.5,110.9
2,Oklahoma City Thunder*,66,15990,39.7,84.4,.471,7.6,21.3,.358,32.1,63.1,.509,22.7,28.1,.806,11.7,34.8,46.5,19.8,8.0,8.7,17.4,21.8,109.8
3,Denver Nuggets*,66,16040,40.9,85.9,.476,6.9,20.8,.332,33.9,65.0,.522,20.5,28.0,.735,11.7,33.4,45.2,25.1,8.6,5.2,16.1,20.6,109.2
4,Los Angeles Clippers*,66,15965,41.1,90.5,.455,8.7,24.3,.357,32.5,66.2,.490,17.6,25.9,.680,13.5,32.8,46.2,23.3,9.4,5.3,14.8,23.6,108.5
5,Chicago Bulls*,66,15940,41.7,92.3,.452,7.1,18.9,.375,34.6,73.4,.471,17.0,23.5,.722,15.5,36.6,52.0,25.8,7.7,6.6,15.6,19.2,107.4
6,Utah Jazz*,66,16165,41.0,89.8,.456,4.4,13.7,.323,36.5,76.1,.480,20.4,27.1,.754,14.0,33.4,47.4,23.4,8.8,6.3,15.2,23.4,106.8
7,Indiana Pacers*,66,15990,38.9,88.9,.438,6.5,17.6,.368,32.5,71.3,.455,22.3,28.5,.782,13.7,34.2,47.9,20.3,8.7,5.9,15.3,23.7,106.7
8,Miami Heat*,66,16040,40.1,85.5,.469,6.1,16.9,.359,34.1,68.6,.496,20.3,26.2,.775,11.3,33.8,45.0,21.6,9.6,5.8,16.4,21.0,106.6
9,Phoenix Suns,66,15840,40.8,89.1,.458,7.3,21.2,.343,33.6,67.9,.494,17.3,22.9,.757,11.7,33.3,45.0,24.3,7.1,6.0,15.2,20.2,106.2
10,Los Angeles Lakers*,66,16065,40.1,87.8,.457,6.0,18.3,.326,34.1,69.4,.491,19.8,26.2,.756,13.2,37.1,50.3,24.5,6.4,5.8,16.5,18.3,106.0
11,Portland Trail Blazers,66,15965,39.6,89.3,.443,7.9,22.8,.346,31.7,66.5,.477,18.7,23.5,.796,12.1,32.1,44.2,22.2,8.7,5.3,15.4,20.6,105.7
12,Houston Rockets,66,16065,40.6,90.3,.449,7.8,21.7,.359,32.8,68.6,.477,16.6,21.2,.782,12.5,32.8,45.3,22.9,8.1,5.2,15.6,21.9,105.5
13,Milwaukee Bucks,66,15865,40.4,91.2,.443,7.0,20.4,.345,33.3,70.8,.471,17.7,22.8,.774,13.2,32.0,45.2,25.0,8.8,5.4,15.0,20.5,105.5
14,Golden State Warriors,66,15915,40.6,88.9,.457,8.6,22.1,.388,32.1,66.8,.480,15.5,20.2,.770,10.5,31.8,42.2,24.0,8.6,5.9,14.9,23.0,105.4
15,Orlando Magic*,66,15965,38.4,87.2,.441,11.3,30.1,.375,27.1,57.0,.475,16.8,25.5,.660,12.5,34.8,47.3,22.3,7.6,4.6,16.6,19.7,105.0
16,Atlanta Hawks*,66,16165,40.0,88.0,.454,8.1,21.9,.370,31.9,66.1,.482,16.9,22.8,.740,10.7,34.0,44.7,24.4,8.8,5.0,15.2,19.4,104.9
17,New York Knicks*,66,15940,38.2,86.2,.443,8.4,24.9,.336,29.9,61.4,.487,19.6,26.4,.741,12.0,32.5,44.5,21.5,10.1,4.5,17.1,22.5,104.4
18,Minnesota Timberwolves,66,15940,38.0,87.7,.433,7.6,23.0,.332,30.4,64.7,.469,20.7,26.8,.771,12.9,33.7,46.6,20.8,7.0,4.7,16.2,19.6,104.3
19,Memphis Grizzlies*,66,15940,40.2,89.9,.447,4.6,14.1,.326,35.6,75.8,.470,18.9,24.9,.759,13.8,32.2,46.0,21.4,10.5,5.7,15.8,21.8,104.0
20,Philadelphia 76ers*,66,15915,41.6,92.8,.448,5.9,16.2,.362,35.7,76.6,.466,14.9,20.1,.742,11.8,36.1,47.9,24.4,8.8,5.7,12.4,19.5,103.9
21,Sacramento Kings,66,15915,39.7,91.0,.436,6.5,20.7,.316,33.1,70.3,.471,18.0,24.4,.736,14.0,31.0,45.1,20.2,8.9,5.1,15.2,20.5,103.8
22,Dallas Mavericks*,66,16065,39.2,88.4,.443,8.1,23.9,.339,31.1,64.5,.482,16.8,21.8,.771,10.9,35.2,46.1,22.5,9.2,5.5,15.1,20.0,103.3
23,New Jersey Nets,66,15890,37.9,89.1,.425,8.5,24.8,.342,29.4,64.3,.457,18.6,24.0,.777,13.1,31.5,44.6,22.0,8.3,4.4,16.7,21.2,102.9
24,Cleveland Cavaliers,66,15965,37.2,88.2,.422,7.2,21.0,.346,30.0,67.3,.446,19.4,27.1,.716,13.8,32.1,45.9,21.5,7.7,4.3,16.7,21.7,101.1
25,Washington Wizards,66,15865,39.5,89.5,.441,5.6,17.6,.320,33.8,71.9,.470,16.5,22.7,.727,12.7,32.3,45.0,20.6,8.6,6.8,16.5,23.0,101.0
26,Detroit Pistons,66,15965,38.6,88.1,.438,5.3,15.4,.346,33.3,72.7,.457,18.5,24.6,.752,13.1,31.7,44.8,20.8,7.7,4.7,17.4,21.8,101.0
27,Boston Celtics*,66,15940,39.0,84.7,.460,6.0,16.5,.367,33.0,68.3,.483,16.9,21.8,.778,8.5,34.2,42.7,25.9,8.3,6.0,16.3,21.9,101.0
28,New Orleans Hornets,66,15940,39.2,87.0,.451,4.4,13.2,.333,34.8,73.8,.472,18.0,23.8,.757,12.3,33.9,46.3,23.3,8.3,5.4,17.5,22.6,100.9
29,Toronto Raptors,66,15965,38.2,86.8,.440,6.1,18.1,.340,32.0,68.7,.467,18.3,23.7,.770,11.7,34.9,46.7,23.3,7.2,5.4,16.9,25.8,100.8
30,Charlotte Bobcats,66,15890,36.4,87.8,.414,4.4,14.8,.295,32.0,73.0,.439,18.1,24.2,.746,11.2,31.4,42.6,22.0,6.6,6.0,15.9,20.7,95.2
