Rk,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
1,Atlanta Hawks,,0-3,2-2,2-2,1-2,1-1,1-1,0-4,1-1,0-2,1-2,1-1,1-1,2-0,3-1,2-2,2-0,1-3,0-2,4-0,2-2,3-1,1-1,0-2,1-1,0-2,1-1,1-2,1-1,2-2
2,Boston Celtics,3-0,,3-1,4-0,2-2,2-0,1-1,2-1,1-1,2-0,3-0,2-0,2-0,2-0,4-0,4-0,2-0,4-0,1-1,4-0,1-2,3-1,1-1,2-0,2-0,2-0,2-0,3-1,1-1,1-3
3,Charlotte Bobcats,2-2,1-3,,1-3,1-3,0-2,1-1,0-3,1-1,0-2,3-1,2-0,1-1,1-1,3-1,1-2,2-0,1-3,0-2,1-2,1-3,1-2,0-2,2-0,0-2,0-2,2-0,2-2,1-1,1-3
4,Chicago Bulls,2-2,0-4,3-1,,3-1,0-2,1-1,3-1,1-1,0-2,2-2,1-1,0-2,1-1,2-1,3-1,1-1,1-2,0-2,2-2,0-4,1-3,0-2,0-2,1-1,0-2,2-0,1-2,1-1,1-2
5,Cleveland Cavaliers,2-1,2-2,3-1,1-3,,1-1,0-2,1-3,1-1,0-2,4-0,2-0,2-0,2-0,3-0,1-3,2-0,1-3,0-2,2-1,1-3,2-1,0-2,2-0,2-0,1-1,1-1,3-1,1-1,2-2
6,Dallas Mavericks,1-1,0-2,2-0,2-0,1-1,,1-2,1-1,3-1,3-1,1-1,4-0,1-3,4-0,2-0,1-1,3-0,1-1,2-2,2-0,2-0,1-1,2-1,2-2,2-1,1-3,3-1,1-1,2-2,0-2
7,Denver Nuggets,1-1,1-1,1-1,1-1,2-0,2-1,,0-2,3-1,2-2,1-1,3-1,0-3,4-0,2-0,1-1,4-0,2-0,1-2,1-1,1-1,1-1,2-2,2-2,2-1,2-2,3-1,2-0,1-3,2-0
8,Detroit Pistons,4-0,1-2,3-0,1-3,3-1,1-1,2-0,,2-0,1-1,4-0,2-0,1-1,2-0,4-0,3-1,2-0,3-0,2-0,2-2,2-2,2-2,2-0,1-1,0-2,2-0,2-0,3-1,0-2,2-1
9,Golden State Warriors,1-1,1-1,1-1,1-1,1-1,1-3,1-3,0-2,,2-2,1-1,3-1,2-2,4-0,2-0,2-0,3-1,1-1,1-2,2-0,1-1,2-0,2-2,2-2,3-1,2-1,2-1,2-0,0-3,2-0
10,Houston Rockets,2-0,0-2,2-0,2-0,2-0,1-3,2-2,1-1,2-2,,2-0,3-0,2-1,3-1,1-1,2-0,3-0,2-0,2-2,2-0,1-1,0-2,2-2,4-0,2-2,2-2,4-0,1-1,1-2,2-0
11,Indiana Pacers,2-1,0-3,1-3,2-2,0-4,1-1,1-1,0-4,1-1,0-2,,1-1,0-2,1-1,3-1,3-1,1-1,2-2,1-1,4-0,1-2,3-0,0-2,2-0,1-1,0-2,1-1,1-3,1-1,2-2
12,Los Angeles Clippers,1-1,0-2,0-2,1-1,0-2,0-4,1-3,0-2,1-3,0-3,1-1,,0-4,3-1,1-1,1-1,1-3,2-0,0-4,2-0,0-2,0-2,1-3,0-3,3-1,0-3,2-1,1-1,1-3,0-2
13,Los Angeles Lakers,1-1,0-2,1-1,2-0,0-2,3-1,3-0,1-1,2-2,1-2,2-0,4-0,,2-1,2-0,1-1,3-0,1-1,2-2,2-0,1-1,2-0,3-1,2-2,3-1,2-2,4-0,2-0,3-1,2-0
14,Memphis Grizzlies,0-2,0-2,1-1,1-1,0-2,0-4,0-4,0-2,0-4,1-3,1-1,1-3,1-2,,2-0,0-2,2-2,2-0,0-4,2-0,1-1,0-2,0-3,0-3,2-2,1-3,3-1,0-2,0-3,1-1
15,Miami Heat,1-3,0-4,1-3,1-2,0-3,0-2,0-2,0-4,0-2,1-1,1-3,1-1,0-2,0-2,,2-2,1-1,1-2,0-2,1-3,0-4,0-3,1-1,0-2,1-1,0-2,1-1,0-4,1-1,0-4
16,Milwaukee Bucks,2-2,0-4,2-1,1-3,3-1,1-1,1-1,1-3,0-2,0-2,1-3,1-1,1-1,2-0,2-2,,1-1,0-4,0-2,1-2,1-2,1-3,0-2,0-2,0-2,0-2,1-1,1-2,0-2,2-2
17,Minnesota Timberwolves,0-2,0-2,0-2,1-1,0-2,0-3,0-4,0-2,1-3,0-3,1-1,3-1,0-3,2-2,1-1,1-1,,1-1,1-3,1-1,1-1,1-1,2-2,0-4,2-1,0-4,1-3,0-2,2-2,0-2
18,New Jersey Nets,3-1,0-4,3-1,2-1,3-1,1-1,0-2,0-3,1-1,0-2,2-2,0-2,1-1,0-2,2-1,4-0,1-1,,0-2,1-3,1-3,2-2,0-2,1-1,0-2,0-2,2-0,1-3,1-1,2-1
19,New Orleans Hornets,2-0,1-1,2-0,2-0,2-0,2-2,2-1,0-2,2-1,2-2,1-1,4-0,2-2,4-0,2-0,2-0,3-1,2-0,,2-0,1-1,2-0,4-0,2-2,1-2,2-2,3-0,1-1,1-3,0-2
20,New York Knicks,0-4,0-4,2-1,2-2,1-2,0-2,1-1,2-2,0-2,0-2,0-4,0-2,0-2,0-2,3-1,2-1,1-1,3-1,0-2,,1-3,1-3,0-2,0-2,0-2,0-2,0-2,1-3,1-1,2-1
