Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,2-1,1-2,3-0,1-2,1-2,0-2,1-1,2-1,2-0,2-0,1-2,1-1,1-1,1-1,2-1,1-2,2-0,2-0,0-3,1-1,3-0,1-2,1-1,1-1,1-1,1-1,3-0,0-2,3-0
2,Boston Celtics,1-2,,0-3,1-2,2-1,1-2,0-2,2-0,1-2,2-0,2-0,2-1,2-0,1-1,1-1,1-2,2-1,2-0,0-2,1-2,1-1,3-0,0-3,1-1,1-1,0-2,1-1,3-0,0-2,2-1
3,Brooklyn Nets,2-1,3-0,,2-1,2-1,1-2,0-2,2-0,2-1,2-0,2-0,3-0,2-0,1-1,0-2,2-1,1-2,2-0,2-0,3-0,1-1,2-1,1-2,2-0,1-1,2-0,2-0,1-2,1-1,1-2
4,Chicago Bulls,0-3,2-1,1-2,,3-0,1-2,2-0,0-2,3-0,0-2,2-0,2-1,0-2,0-2,0-2,1-2,1-2,1-1,2-0,1-2,1-1,1-2,0-3,0-2,1-1,1-1,0-2,3-0,0-2,2-1
5,Charlotte Hornets,2-1,1-2,1-2,0-3,,1-2,1-1,0-2,3-0,1-1,2-0,2-1,0-2,0-2,0-2,2-1,2-1,2-0,1-1,1-2,1-1,2-1,0-3,1-1,1-1,2-0,1-1,1-2,0-2,2-1
6,Cleveland Cavaliers,2-1,2-1,2-1,2-1,2-1,,0-2,0-2,2-1,0-2,2-0,0-3,0-2,0-2,1-1,0-3,0-3,1-1,0-2,1-2,1-1,0-3,2-1,0-2,0-2,0-2,1-1,1-2,0-2,0-3
7,Dallas Mavericks,2-0,2-0,2-0,0-2,1-1,2-0,,2-1,2-0,2-1,1-2,1-1,2-1,2-1,2-1,2-0,1-1,2-1,2-1,1-1,2-1,2-0,0-2,0-3,1-2,0-3,2-1,1-1,1-2,2-0
8,Denver Nuggets,1-1,0-2,0-2,2-0,2-0,2-0,1-2,,2-0,1-2,3-0,2-0,2-1,1-2,3-0,2-0,1-1,3-0,2-1,2-0,3-0,2-0,2-0,2-1,2-1,0-3,2-1,1-1,1-2,0-2
9,Detroit Pistons,1-2,2-1,1-2,0-3,0-3,1-2,0-2,0-2,,0-2,1-1,0-3,0-2,1-1,1-1,1-2,0-3,0-2,1-1,0-3,2-0,1-2,1-2,1-1,0-2,1-1,0-2,3-0,0-2,1-2
10,Golden State Warriors,0-2,0-2,0-2,2-0,1-1,2-0,1-2,2-1,2-0,,3-0,1-1,1-2,1-2,2-1,1-1,1-1,2-1,2-1,1-1,3-0,1-1,1-1,1-2,1-2,2-1,2-1,1-1,2-1,0-2
11,Houston Rockets,0-2,0-2,0-2,0-2,0-2,0-2,2-1,0-3,1-1,0-3,,0-2,1-2,0-3,1-2,0-2,1-1,1-2,1-2,0-2,1-2,2-0,0-2,0-3,1-2,2-1,1-2,1-1,0-3,1-1
12,Indiana Pacers,2-1,1-2,0-3,1-2,1-2,3-0,1-1,0-2,3-0,1-1,2-0,,0-2,0-2,2-0,2-1,0-3,2-0,1-1,1-2,2-0,3-0,1-2,1-1,1-1,0-2,1-1,2-1,0-2,0-3
13,Los Angeles Clippers,1-1,0-2,0-2,2-0,2-0,2-0,1-2,1-2,2-0,2-1,2-1,2-0,,3-0,2-1,2-0,1-1,3-0,1-2,1-1,2-1,1-1,1-1,2-1,3-0,2-1,2-1,2-0,1-2,1-1
14,Los Angeles Lakers,1-1,1-1,1-1,2-0,2-0,2-0,1-2,2-1,1-1,2-1,3-0,2-0,0-3,,3-0,0-2,1-1,3-0,2-1,1-1,3-0,2-0,0-2,1-2,1-2,1-2,2-1,1-1,1-2,0-2
15,Memphis Grizzlies,1-1,1-1,2-0,2-0,2-0,1-1,1-2,0-3,1-1,1-2,2-1,0-2,1-2,0-3,,2-0,1-1,3-0,1-2,0-2,2-1,1-1,2-0,1-2,2-1,3-0,2-1,1-1,0-3,2-0
16,Miami Heat,1-2,2-1,1-2,2-1,1-2,3-0,0-2,0-2,2-1,1-1,2-0,1-2,0-2,2-0,0-2,,1-2,1-1,2-0,3-0,2-0,2-1,1-2,0-2,1-1,2-0,2-0,2-1,1-1,2-1
17,Milwaukee Bucks,2-1,1-2,2-1,2-1,1-2,3-0,1-1,1-1,3-0,1-1,1-1,3-0,1-1,1-1,1-1,2-1,,2-0,1-1,1-2,1-1,3-0,3-0,0-2,2-0,2-0,1-1,1-2,0-2,3-0
18,Minnesota Timberwolves,0-2,0-2,0-2,1-1,0-2,1-1,1-2,0-3,2-0,1-2,2-1,0-2,0-3,0-3,0-3,1-1,0-2,,2-1,1-1,1-2,1-1,0-2,1-2,1-2,2-1,1-2,1-1,3-0,0-2
19,New Orleans Pelicans,0-2,2-0,0-2,0-2,1-1,2-0,1-2,1-2,1-1,1-2,2-1,1-1,2-1,1-2,2-1,0-2,1-1,1-2,,0-2,2-1,1-1,1-1,1-2,0-3,2-1,1-2,2-0,1-2,1-1
20,New York Knicks,3-0,2-1,0-3,2-1,2-1,2-1,1-1,0-2,3-0,1-1,2-0,2-1,1-1,1-1,2-0,0-3,2-1,1-1,2-0,,1-1,2-1,0-3,0-2,1-1,1-1,1-1,2-1,1-1,3-0
21,Oklahoma City Thunder,1-1,1-1,1-1,1-1,1-1,1-1,1-2,0-3,0-2,0-3,2-1,0-2,1-2,0-3,1-2,0-2,1-1,2-1,1-2,1-1,,1-1,0-2,1-2,1-2,0-3,2-1,1-1,0-3,0-2
22,Orlando Magic,0-3,0-3,1-2,2-1,1-2,3-0,0-2,0-2,2-1,1-1,0-2,0-3,1-1,0-2,1-1,1-2,0-3,1-1,1-1,1-2,1-1,,0-3,1-1,0-2,1-1,0-2,0-3,0-2,2-1
23,Philadelphia 76ers,2-1,3-0,2-1,3-0,3-0,1-2,2-0,0-2,2-1,1-1,2-0,2-1,1-1,2-0,0-2,2-1,0-3,2-0,1-1,3-0,2-0,3-0,,0-2,0-2,2-0,2-0,2-1,1-1,3-0
24,Phoenix Suns,1-1,1-1,0-2,2-0,1-1,2-0,3-0,1-2,1-1,2-1,3-0,1-1,1-2,2-1,2-1,2-0,2-0,2-1,2-1,2-0,2-1,1-1,2-0,,3-0,2-1,2-1,2-0,3-0,1-1
25,Portland Trail Blazers,1-1,1-1,1-1,1-1,1-1,2-0,2-1,1-2,2-0,2-1,2-1,1-1,0-3,2-1,1-2,1-1,0-2,2-1,3-0,1-1,2-1,2-0,2-0,0-3,,3-0,2-1,2-0,1-2,1-1
26,Sacramento Kings,1-1,2-0,0-2,1-1,0-2,2-0,3-0,3-0,1-1,1-2,1-2,2-0,1-2,2-1,0-3,0-2,0-2,1-2,1-2,1-1,3-0,1-1,0-2,1-2,0-3,,1-2,1-1,0-3,1-1
27,San Antonio Spurs,1-1,1-1,0-2,2-0,1-1,1-1,1-2,1-2,2-0,1-2,2-1,1-1,1-2,1-2,1-2,0-2,1-1,2-1,2-1,1-1,1-2,2-0,0-2,1-2,1-2,2-1,,1-1,0-3,2-0
28,Toronto Raptors,0-3,0-3,2-1,0-3,2-1,2-1,1-1,1-1,0-3,1-1,1-1,1-2,0-2,1-1,1-1,1-2,2-1,1-1,0-2,1-2,1-1,3-0,1-2,0-2,0-2,1-1,1-1,,0-2,2-1
29,Utah Jazz,2-0,2-0,1-1,2-0,2-0,2-0,2-1,2-1,2-0,1-2,3-0,2-0,2-1,2-1,3-0,1-1,2-0,0-3,2-1,1-1,3-0,2-0,1-1,0-3,2-1,3-0,3-0,2-0,,0-2
30,Washington Wizards,0-3,1-2,2-1,1-2,1-2,3-0,0-2,2-0,2-1,2-0,1-1,3-0,1-1,2-0,0-2,1-2,0-3,2-0,1-1,0-3,2-0,1-2,0-3,1-1,1-1,1-1,0-2,1-2,2-0
