Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19880,.444,11.7,,.837,.356,.097,.090,.294,.163,,.467,.572,.385,.398,.387,.329,,.518,.833,,.047,273,,.284,940,,.253,.373,,8,0
2,Boston Celtics,82,19855,.443,12.0,,.801,.317,.152,.102,.230,.199,,.462,.585,.379,.368,.388,.367,,.499,.930,,.032,189,,.268,915,,.271,.414,,12,0
3,Charlotte Bobcats,82,20005,.446,11.8,,.807,.335,.129,.095,.249,.193,,.467,.574,.381,.352,.410,.357,,.565,.921,,.040,251,,.272,950,,.352,.384,,14,1
4,Chicago Bulls*,82,19780,.457,12.7,,.814,.302,.100,.118,.295,.186,,.473,.567,.386,.407,.432,.388,,.562,.810,,.041,259,,.240,805,,.223,.420,,11,0
5,Cleveland Cavaliers*,82,19880,.447,12.1,,.789,.323,.129,.123,.214,.211,,.473,.622,.358,.373,.375,.352,,.519,.846,,.045,282,,.236,911,,.342,.363,,12,2
6,Dallas Mavericks*,82,19755,.467,13.0,,.782,.269,.104,.163,.246,.218,,.491,.606,.401,.452,.430,.381,,.469,.880,,.035,210,,.216,762,,.328,.377,,14,0
7,Denver Nuggets*,82,19780,.465,11.4,,.788,.370,.104,.100,.214,.212,,.500,.632,.393,.392,.373,.336,,.550,.924,,.074,461,,.263,1001,,.251,.318,,16,0
8,Detroit Pistons*,82,19880,.454,12.4,,.799,.291,.110,.182,.216,.201,,.481,.602,.408,.404,.421,.344,,.561,.822,,.052,307,,.213,736,,.318,.352,,13,1
9,Golden State Warriors*,82,19755,.463,12.3,,.721,.338,.135,.077,.172,.279,,.504,.654,.362,.359,.386,.356,,.525,.866,,.048,325,,.269,1139,,.339,.386,,15,0
10,Houston Rockets*,82,19855,.445,13.2,,.710,.276,.145,.104,.185,.290,,.475,.578,.431,.385,.406,.372,,.518,.800,,.022,142,,.233,824,,.269,.399,,7,1
11,Indiana Pacers,82,19780,.438,12.6,,.788,.272,.158,.146,.213,.212,,.462,.589,.416,.379,.392,.346,,.522,.898,,.033,201,,.225,796,,.269,.366,,11,2
12,Los Angeles Clippers,82,19730,.456,12.2,,.857,.252,.157,.194,.255,.143,,.474,.619,.454,.406,.394,.348,,.572,.933,,.026,158,,.208,760,,.181,.380,,16,0
13,Los Angeles Lakers*,82,20030,.466,12.4,,.741,.326,.122,.096,.196,.259,,.505,.611,.429,.428,.415,.353,,.537,.837,,.049,308,,.256,941,,.229,.392,,14,0
14,Memphis Grizzlies,82,19980,.465,11.7,,.789,.343,.139,.100,.207,.211,,.491,.595,.425,.394,.410,.367,,.505,.836,,.070,402,,.252,823,,.163,.446,,17,0
15,Miami Heat*,82,19855,.464,12.4,,.755,.304,.147,.094,.211,.245,,.503,.642,.432,.393,.402,.343,,.514,.856,,.054,315,,.228,830,,.263,.366,,12,0
16,Milwaukee Bucks,82,19855,.465,11.4,,.781,.360,.124,.113,.183,.219,,.495,.600,.430,.419,.381,.356,,.512,.844,,.040,244,,.291,1106,,.260,.376,,5,0
17,Minnesota Timberwolves,82,20005,.461,12.8,,.833,.267,.127,.133,.305,.167,,.483,.608,.426,.432,.419,.353,,.576,.896,,.037,214,,.211,766,,.259,.369,,24,1
