Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,ORL,PHI,PHO,POR,SAC,SAS,OKC,TOR,UTA,WAS
1,Atlanta Hawks,,3-1,1-3,0-4,1-3,0-2,1-1,1-2,2-0,1-1,1-3,2-0,0-2,2-0,0-4,1-2,2-0,1-2,0-2,1-2,3-1,1-3,1-1,1-1,1-1,0-2,0-2,2-2,0-2,1-3
2,Boston Celtics,1-3,,2-2,0-3,1-2,0-2,1-1,0-4,0-2,1-1,1-3,0-2,0-2,1-1,1-2,2-2,1-1,2-2,0-2,3-1,1-3,1-3,0-2,2-0,0-2,1-1,1-1,1-3,0-2,0-3
3,Charlotte Hornets,3-1,2-2,,1-2,2-2,0-2,1-1,2-2,1-1,0-2,1-2,0-2,2-0,0-2,2-2,2-2,1-1,1-2,1-1,2-2,2-2,2-2,0-2,0-2,1-1,1-1,0-2,0-3,1-1,2-2
4,Chicago Bulls,4-0,3-0,2-1,,2-2,1-1,1-1,3-1,1-1,0-2,3-1,0-2,1-1,1-1,3-1,4-0,0-2,1-3,2-0,3-1,1-2,2-1,1-1,2-0,0-2,1-1,2-0,2-2,0-2,3-1
5,Cleveland Cavaliers,3-1,2-1,2-2,2-2,,0-2,0-2,1-3,2-0,1-1,3-1,2-0,2-0,2-0,1-3,4-0,2-0,2-1,1-1,2-2,1-2,3-1,0-2,1-1,2-0,2-0,1-1,3-1,1-1,2-1
6,Dallas Mavericks,2-0,2-0,2-0,1-1,2-0,,3-1,1-1,0-3,3-1,2-0,2-1,3-1,4-0,2-0,2-0,4-0,2-0,4-0,2-0,2-0,2-0,2-2,3-0,4-0,3-1,4-0,2-0,1-2,1-1
7,Denver Nuggets,1-1,1-1,1-1,1-1,2-0,1-3,,0-2,3-1,1-2,2-0,2-1,3-1,2-2,2-0,2-0,2-2,1-1,2-2,1-1,1-1,1-1,1-2,3-1,2-2,1-2,3-1,1-1,1-3,1-1
8,Detroit Pistons,2-1,4-0,2-2,1-3,3-1,1-1,2-0,,0-2,1-1,2-2,2-0,2-0,2-0,2-1,3-1,1-1,4-0,1-1,2-1,4-0,3-1,1-1,1-1,1-1,0-2,2-0,2-1,0-2,2-2
9,Golden State Warriors,0-2,2-0,1-1,1-1,0-2,3-0,1-3,2-0,,2-1,1-1,2-2,0-4,3-1,0-2,0-2,2-1,1-1,3-1,1-1,1-1,2-0,1-3,2-1,3-1,1-3,3-1,1-1,2-2,1-1
10,Houston Rockets,1-1,1-1,2-0,2-0,1-1,1-3,2-1,1-1,1-2,,1-1,3-1,2-2,4-0,2-0,2-0,2-2,2-0,1-3,2-0,2-0,2-0,1-3,2-2,3-0,2-2,3-0,1-1,1-3,2-0
11,Indiana Pacers,3-1,3-1,2-1,1-3,1-3,0-2,0-2,2-2,1-1,1-1,,1-1,1-1,2-0,2-2,4-0,0-2,0-4,1-1,2-1,2-2,2-2,0-2,2-0,0-2,1-1,0-2,1-2,0-2,0-3
