Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,4-0,2-2,3-1,1-3,1-1,1-1,2-2,1-1,2-0,3-0,2-0,1-1,2-0,1-3,2-1,2-0,3-0,1-1,1-3,0-2,1-3,2-1,1-1,2-0,2-0,1-1,3-1,2-0,4-0
2,Boston Celtics,0-4,,3-0,2-2,2-2,1-1,1-1,2-1,1-1,1-1,2-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,1-1,3-1,1-1,1-3,3-1,0-2,2-0,2-0,1-1,4-0,1-1,3-1
3,Charlotte Hornets,2-2,0-3,,1-3,3-1,0-2,1-1,2-1,2-0,1-1,1-2,1-1,1-1,2-0,3-1,2-2,2-0,2-2,1-1,2-2,1-1,1-3,3-1,2-0,0-2,2-0,1-1,1-2,0-2,4-0
4,Chicago Bulls,1-3,2-2,3-1,,2-2,0-2,0-2,4-0,1-1,2-0,3-1,0-2,0-2,0-2,1-3,1-3,2-0,1-2,2-0,3-1,1-1,1-2,3-1,1-1,1-1,1-1,2-0,1-2,0-2,2-1
5,Cleveland Cavaliers,3-1,2-2,1-3,2-2,,1-1,0-2,4-0,2-0,1-1,3-1,2-0,2-0,1-1,3-0,3-1,2-0,4-0,2-0,3-0,2-0,2-2,3-0,2-0,2-0,2-0,1-1,3-1,1-1,2-1
6,Dallas Mavericks,1-1,1-1,2-0,2-0,1-1,,2-1,2-0,3-1,2-2,2-0,3-0,2-2,3-1,2-0,2-0,3-1,2-0,2-2,1-1,2-2,1-1,1-1,2-1,1-3,4-0,3-1,1-1,1-2,1-1
7,Denver Nuggets,1-1,1-1,1-1,2-0,2-0,1-2,,1-1,4-0,2-1,2-0,2-1,3-1,3-1,1-1,0-2,3-1,2-0,3-1,1-1,3-1,1-1,1-1,1-3,3-1,1-2,2-2,2-0,3-1,1-1
8,Detroit Pistons,2-2,1-2,1-2,0-4,0-4,0-2,1-1,,1-1,1-1,0-4,0-2,0-2,1-1,1-2,2-2,2-0,2-1,1-1,1-3,0-2,1-3,3-1,0-2,0-2,1-1,1-1,0-4,0-2,4-0
9,Golden State Warriors,1-1,1-1,0-2,1-1,0-2,1-3,0-4,1-1,,0-3,1-1,2-2,0-4,2-2,0-2,0-2,3-0,2-0,1-3,2-0,1-3,0-2,0-2,1-3,2-2,2-2,0-3,2-0,0-3,0-2
10,Houston Rockets,0-2,1-1,1-1,0-2,1-1,2-2,1-2,1-1,3-0,,0-2,2-1,1-3,4-0,0-2,2-0,3-0,2-0,1-3,2-0,3-1,0-2,1-1,0-4,2-2,2-2,2-2,1-1,2-2,2-0
11,Indiana Pacers,0-3,1-2,2-1,1-3,1-3,0-2,0-2,4-0,1-1,2-0,,1-1,0-2,0-2,0-4,0-4,1-1,4-0,0-2,2-2,1-1,1-3,2-1,1-1,0-2,1-1,0-2,2-2,1-1,3-1
12,Los Angeles Clippers,0-2,1-1,1-1,2-0,0-2,0-3,1-2,2-0,2-2,1-2,1-1,,2-2,2-2,1-1,1-1,3-1,1-1,0-4,0-2,1-2,0-2,2-0,0-4,1-3,1-3,0-4,0-2,1-3,2-0
13,Los Angeles Lakers,1-1,1-1,1-1,2-0,0-2,2-2,1-3,2-0,4-0,3-1,2-0,2-2,,2-1,1-1,2-0,3-0,2-0,2-1,2-0,3-1,1-1,2-0,3-1,1-2,4-0,2-2,1-1,3-1,2-0
14,Memphis Grizzlies,0-2,1-1,0-2,2-0,1-1,1-3,1-3,1-1,2-2,0-4,2-0,2-2,1-2,,1-1,0-2,3-1,2-0,2-2,2-0,1-2,1-1,1-1,2-2,2-2,2-1,2-2,2-0,1-2,2-0
15,Miami Heat,3-1,0-3,1-3,3-1,0-3,0-2,1-1,2-1,2-0,2-0,4-0,1-1,1-1,1-1,,1-3,1-1,4-0,1-1,3-0,0-2,2-2,4-0,1-1,1-1,2-0,0-2,2-2,1-1,3-1
16,Milwaukee Bucks,1-2,2-2,2-2,3-1,1-3,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,2-0,3-1,,2-0,4-0,1-1,3-0,1-1,0-3,2-2,1-1,1-1,1-1,0-2,2-1,1-1,2-2
17,Minnesota Timberwolves,0-2,0-2,0-2,0-2,0-2,1-3,1-3,0-2,0-3,0-3,1-1,1-3,0-3,1-3,1-1,0-2,,2-0,0-4,1-1,0-4,0-2,1-1,0-4,0-4,2-2,0-3,0-2,2-2,1-1
18,Brooklyn Nets,0-3,1-3,2-2,2-1,0-4,0-2,0-2,1-2,0-2,0-2,0-4,1-1,0-2,0-2,0-4,0-4,0-2,,1-1,2-2,0-2,0-3,0-4,0-2,0-2,1-1,1-1,0-4,0-2,0-4
19,New Orleans Pelicans,1-1,1-1,1-1,0-2,0-2,2-2,1-3,1-1,3-1,3-1,2-0,4-0,1-2,2-2,1-1,1-1,4-0,1-1,,0-2,1-2,1-1,0-2,1-3,1-2,2-1,0-4,0-2,1-3,1-1
20,New York Knicks,3-1,1-3,2-2,1-3,0-3,1-1,1-1,3-1,0-2,0-2,2-2,2-0,0-2,0-2,0-3,0-3,1-1,2-2,2-0,,0-2,0-3,3-1,1-1,1-1,0-2,0-2,0-4,0-2,3-1
21,Oklahoma City Thunder,2-0,1-1,1-1,1-1,0-2,2-2,1-3,2-0,3-1,1-3,1-1,2-1,1-3,2-1,2-0,1-1,4-0,2-0,2-1,2-0,,1-1,2-0,2-1,1-3,3-1,1-3,2-0,3-1,2-0
