Rk,Team,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,1-3,2-2,4-0,1-2,2-2,1-1,1-1,2-1,0-2,0-2,2-2,1-1,1-1,2-0,0-4,4-0,1-1,1-1,0-3,1-1,4-0,2-2,1-1,1-1,2-0,0-2,2-1,2-0,3-1
2,Boston Celtics,3-1,,1-3,2-2,2-2,2-2,1-1,1-1,1-2,1-1,1-1,2-0,1-1,1-1,0-2,1-3,1-3,1-1,0-2,1-3,1-1,3-0,2-2,2-0,1-1,1-1,0-2,3-1,2-0,3-0
3,Brooklyn Nets,2-2,3-1,,3-0,1-3,3-0,1-1,1-1,4-0,0-2,0-2,3-0,1-1,0-2,0-2,0-3,2-2,1-1,2-0,2-2,1-1,4-0,3-1,2-0,2-0,2-0,0-2,3-1,0-2,3-1
4,Charlotte Hornets,0-4,2-2,0-3,,1-2,1-2,1-1,0-2,1-3,0-2,0-2,1-3,0-2,0-2,0-2,0-4,2-2,2-0,0-2,1-2,0-2,3-1,1-3,0-2,0-2,0-2,0-2,2-2,0-2,3-1
5,Chicago Bulls,2-1,2-2,3-1,2-1,,3-1,1-1,0-2,3-1,2-0,0-2,1-3,0-2,1-1,0-2,2-2,2-2,2-0,1-1,4-0,0-2,4-0,3-0,1-1,0-2,1-1,0-2,1-2,2-0,2-2
6,Cleveland Cavaliers,2-2,2-2,0-3,2-1,1-3,,0-2,0-2,0-4,0-2,0-2,0-4,1-1,1-1,0-2,0-4,2-2,0-2,1-1,0-3,1-1,3-1,1-3,0-2,1-1,0-2,0-2,2-2,1-1,3-0
7,Dallas Mavericks,1-1,1-1,1-1,1-1,1-1,2-0,,1-2,2-0,1-2,3-1,0-2,1-2,1-3,1-3,0-2,1-1,2-2,3-1,1-1,0-4,2-0,1-1,3-1,3-1,4-0,0-4,1-1,1-2,2-0
8,Denver Nuggets,1-1,1-1,1-1,2-0,2-0,2-0,2-1,,2-0,3-1,4-0,2-0,2-1,3-1,3-1,0-2,2-0,2-2,2-1,1-1,3-1,1-1,1-1,2-1,3-1,4-0,2-2,1-1,3-1,0-2
9,Detroit Pistons,1-2,2-1,0-4,3-1,1-3,4-0,0-2,0-2,,0-2,0-2,0-4,0-2,0-2,0-2,1-2,3-1,0-2,0-2,0-4,0-2,2-2,2-1,1-1,1-1,1-1,1-1,2-2,0-2,4-0
10,Golden State Warriors,2-0,1-1,2-0,2-0,0-2,2-0,2-1,1-3,2-0,,1-3,1-1,3-1,1-3,0-3,1-1,0-2,4-0,4-0,1-1,1-3,0-2,1-1,4-0,3-0,1-3,2-2,2-0,1-2,2-0
