Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,2-2,1-2,1-3,2-2,3-1,1-1,0-2,1-2,1-1,1-1,4-0,1-1,1-1,2-0,1-3,2-1,2-0,1-1,1-3,2-0,3-1,1-2,1-1,1-1,2-0,1-1,1-3,0-2,3-1
2,Boston Celtics,2-2,,3-1,2-1,3-1,2-1,0-2,2-0,3-1,1-1,2-0,3-1,0-2,1-1,2-0,2-1,2-2,1-1,2-0,2-2,2-0,3-0,2-2,1-1,1-1,2-0,0-2,2-2,1-1,2-2
3,Brooklyn Nets,2-1,1-3,,1-2,1-2,3-1,1-1,0-2,4-0,0-2,1-1,3-0,1-1,1-1,0-2,1-3,1-3,1-1,2-0,4-0,1-1,3-1,3-1,0-2,1-1,1-1,2-0,2-2,1-1,2-2
4,Chicago Bulls,3-1,1-2,2-1,,2-1,3-1,1-1,2-0,4-0,0-2,1-1,3-1,2-0,2-0,0-2,0-4,0-4,2-0,1-1,2-2,2-0,3-1,0-4,0-2,1-1,1-1,1-1,3-1,1-1,3-0
5,Charlotte Hornets,2-2,1-3,2-1,1-2,,2-2,1-1,1-1,2-1,1-1,1-1,4-0,0-2,1-1,1-1,0-4,2-2,1-1,2-0,3-1,2-0,3-1,1-3,0-2,1-1,1-1,2-0,1-2,1-1,3-1
6,Cleveland Cavaliers,1-3,1-2,1-3,1-3,2-2,,1-1,2-0,2-2,0-2,1-1,4-0,2-0,0-2,0-2,2-1,3-1,1-1,1-1,3-0,2-0,2-1,0-4,0-2,2-0,2-0,2-0,3-1,1-1,2-2
7,Dallas Mavericks,1-1,2-0,1-1,1-1,1-1,1-1,,2-1,2-0,3-1,4-0,1-1,2-2,2-1,3-1,1-1,1-1,2-2,3-1,0-2,3-1,1-1,1-1,0-3,3-0,3-1,4-0,2-0,2-2,0-2
8,Denver Nuggets,2-0,0-2,2-0,0-2,1-1,0-2,1-2,,2-0,3-1,3-0,2-0,3-1,2-1,1-3,2-0,1-1,1-3,3-1,2-0,2-2,1-1,1-1,1-2,3-1,4-0,2-2,1-1,0-4,2-0
9,Detroit Pistons,2-1,1-3,0-4,0-4,1-2,2-2,0-2,0-2,,0-2,1-1,3-1,0-2,0-2,0-2,1-3,1-3,0-2,0-2,0-3,1-1,3-1,1-3,0-2,0-2,1-1,1-1,3-0,1-1,0-4
10,Golden State Warriors,1-1,1-1,2-0,2-0,1-1,2-0,1-3,1-3,2-0,,3-0,1-1,3-1,3-1,1-3,2-0,1-1,2-2,2-1,1-1,3-0,1-1,1-1,2-2,3-0,4-0,2-2,1-1,3-1,1-1
11,Houston Rockets,1-1,0-2,1-1,1-1,1-1,1-1,0-4,0-3,1-1,0-3,,0-2,0-3,1-3,1-3,0-2,0-2,0-3,1-3,0-2,3-1,1-1,0-2,0-4,2-2,1-3,1-3,0-2,1-3,2-0
12,Indiana Pacers,0-4,1-3,0-3,1-3,0-4,0-4,1-1,0-2,1-3,1-1,2-0,,1-1,1-1,0-2,1-2,0-4,0-2,1-1,2-2,1-1,1-2,1-2,0-2,1-1,1-1,2-0,1-3,2-0,2-2
13,Los Angeles Clippers,1-1,2-0,1-1,0-2,2-0,0-2,2-2,1-3,2-0,1-3,3-0,1-1,,4-0,0-4,1-1,1-1,3-1,1-3,0-2,2-1,2-0,1-1,2-2,3-1,2-2,1-2,0-2,1-2,2-0
14,Los Angeles Lakers,1-1,1-1,1-1,0-2,1-1,2-0,1-2,1-2,2-0,1-3,3-1,1-1,0-4,,1-3,1-1,0-2,1-3,0-3,1-1,2-2,2-0,0-2,0-4,2-2,2-2,2-2,1-1,2-1,1-1
15,Memphis Grizzlies,0-2,0-2,2-0,2-0,1-1,2-0,1-3,3-1,2-0,3-1,3-1,2-0,4-0,3-1,,1-1,1-1,2-2,3-1,2-0,2-1,2-0,1-1,2-1,1-3,3-0,4-0,1-1,2-1,1-1
16,Miami Heat,3-1,1-2,3-1,4-0,4-0,1-2,1-1,0-2,3-1,0-2,2-0,2-1,1-1,1-1,1-1,,2-2,0-2,2-0,2-1,2-0,3-1,2-2,1-1,2-0,1-1,2-0,2-2,2-0,3-1
17,Milwaukee Bucks,1-2,2-2,3-1,4-0,2-2,1-3,1-1,1-1,3-1,1-1,2-0,4-0,1-1,2-0,1-1,2-2,,0-2,1-1,3-1,2-0,4-0,2-1,1-1,1-1,2-0,1-1,0-3,1-1,2-1
18,Minnesota Timberwolves,0-2,1-1,1-1,0-2,1-1,1-1,2-2,3-1,2-0,2-2,3-0,2-0,1-3,3-1,2-2,2-0,2-0,,2-2,1-1,4-0,0-2,1-1,0-3,4-0,2-1,3-0,0-2,1-3,0-2
19,New Orleans Pelicans,1-1,0-2,0-2,1-1,0-2,1-1,1-3,1-3,2-0,1-2,3-1,1-1,3-1,3-0,1-3,0-2,1-1,2-2,,1-1,1-2,1-1,0-2,1-3,3-0,2-2,1-3,1-1,2-2,1-1
20,New York Knicks,3-1,2-2,0-4,2-2,1-3,0-3,2-0,0-2,3-0,1-1,2-0,2-2,2-0,1-1,0-2,1-2,1-3,1-1,1-1,,0-2,2-2,2-2,0-2,1-1,2-0,2-0,1-3,0-2,2-1
21,Oklahoma City Thunder,0-2,0-2,1-1,0-2,0-2,0-2,1-3,2-2,1-1,0-3,1-3,1-1,1-2,2-2,1-2,0-2,0-2,0-4,2-1,2-0,,1-1,0-2,1-3,4-0,1-3,1-3,1-1,0-4,0-2
22,Orlando Magic,1-3,0-3,1-3,1-3,1-3,1-2,1-1,1-1,1-3,1-1,1-1,2-1,0-2,0-2,0-2,1-3,0-4,2-0,1-1,2-2,1-1,,0-4,0-2,1-1,0-2,0-2,1-2,1-1,0-4
23,Philadelphia 76ers,2-1,2-2,1-3,4-0,3-1,4-0,1-1,1-1,3-1,1-1,2-0,2-1,1-1,2-0,1-1,2-2,1-2,1-1,2-0,2-2,2-0,4-0,,0-2,1-1,2-0,2-0,1-3,0-2,1-2
24,Phoenix Suns,1-1,1-1,2-0,2-0,2-0,2-0,3-0,2-1,2-0,2-2,4-0,2-0,2-2,4-0,1-2,1-1,1-1,3-0,3-1,2-0,3-1,2-0,2-0,,3-1,2-2,4-0,1-1,3-1,2-0
25,Portland Trail Blazers,1-1,1-1,1-1,1-1,1-1,0-2,0-3,1-3,2-0,0-3,2-2,1-1,1-3,2-2,3-1,0-2,1-1,0-4,0-3,1-1,0-4,1-1,1-1,1-3,,1-2,0-4,2-0,0-4,2-0
26,Sacramento Kings,0-2,0-2,1-1,1-1,1-1,0-2,1-3,0-4,1-1,0-4,3-1,1-1,2-2,2-2,0-3,1-1,0-2,1-2,2-2,0-2,3-1,2-0,0-2,2-2,2-1,,2-1,0-2,0-4,2-0
27,San Antonio Spurs,1-1,2-0,0-2,1-1,0-2,0-2,0-4,2-2,1-1,2-2,3-1,0-2,2-1,2-2,0-4,0-2,1-1,0-3,3-1,0-2,3-1,2-0,0-2,0-4,4-0,1-2,,0-2,2-1,2-0
28,Toronto Raptors,3-1,2-2,2-2,1-3,2-1,1-3,0-2,1-1,0-3,1-1,2-0,3-1,2-0,1-1,1-1,2-2,3-0,2-0,1-1,3-1,1-1,2-1,3-1,1-1,0-2,2-0,2-0,,1-1,3-1
29,Utah Jazz,2-0,1-1,1-1,1-1,1-1,1-1,2-2,4-0,1-1,1-3,3-1,0-2,2-1,1-2,1-2,0-2,1-1,3-1,2-2,2-0,4-0,1-1,2-0,1-3,4-0,4-0,1-2,1-1,,1-1
30,Washington Wizards,1-3,2-2,2-2,0-3,1-3,2-2,2-0,0-2,4-0,1-1,0-2,2-2,0-2,1-1,1-1,1-3,1-2,2-0,1-1,1-2,2-0,4-0,2-1,0-2,0-2,0-2,0-2,1-3,1-1,
